LADC,index,index_scaled,PC,PC_O,PC_1
E01011311,"26,925",9,LS17 9HZ,LS17,9HZ
E01011312,236,1,LS11 6HP,LS11,6HP
E01011328,"6,827",3,LS28 5NA,LS28,5NA
E01011338,777,1,LS9  7HH,LS9, 7HH
E01011339,"2,967",1,LS8  3LA,LS8, 3LA
E01011344,325,1,LS1  1QW,LS1, 1QW
E01011350,"22,753",7,LS7  3DJ,LS7, 3DJ
E01011363,229,1,LS2  7SS,LS2, 7SS
E01011363,229,1,LS3  1RH,LS3, 1RH
E01011364,"1,719",1,LS10 1BF,LS10,1BF
E01011376,"32,477",10,LS16 7LU,LS16,7LU
E01011435,"14,792",5,LS6  3HU,LS6, 3HU
E01011468,762,1,LS98 1FD,LS98,1FD
E01011470,"5,831",2,LS88 1XL,LS88,1XL
E01011470,"5,831",2,LS99 2RX,LS99,2RX
E01011536,"23,016",8,WF2  0SA,WF2, 0SA
E01011696,"30,644",10,LS22 5BA,LS22,5BA
E01011758,"5,857",2,WF6  1PY,WF6, 1PY
E01011766,"15,203",5,WF7  6ES,WF7, 6ES
E01011784,"7,501",3,WF9  4PW,WF9, 4PW
E01011803,"1,386",1,WF11 0BD,WF11,0BD
E01011898,"9,748",3,WF90 8AA,WF90,8AA
E01011949,"5,169",2,TS25 5PR,TS25,5PR
E01011951,"3,241",1,TS26 9BQ,TS26,9BQ
E01011952,"3,264",1,TS24 9JG,TS24,9JG
E01011959,"20,673",7,TS22 5BF,TS22,5BF
E01011959,"20,673",7,TS27 3AW,TS27,3AW
E01011968,"16,245",5,TS23 3TQ,TS23,3TQ
E01012007,"20,429",7,TS5  7HU,TS5, 7HU
E01012011,784,1,TS17 7BU,TS17,7BU
E01012012,"17,153",6,TS1  5HD,TS1, 5HD
E01012015,"1,320",1,TS3  0SE,TS3, 0SE
E01012016,845,1,TS7  9NT,TS7, 9NT
E01012018,"2,284",1,TS4  3SU,TS4, 3SU
E01012030,"24,211",8,TS8  8DF,TS8, 8DF
E01012030,"24,211",8,TS9  5WP,TS9, 5WP
E01012041,64,1,TS2  1WZ,TS2, 1WZ
E01012041,64,1,TS90 8JA,TS90,8JA
E01012060,162,1,TS6  6PU,TS6, 6PU
E01012095,"25,159",8,TS12 2FG,TS12,2FG
E01012096,"2,526",1,TS13 4BN,TS13,4BN
E01012100,499,1,TS10 1DD,TS10,1DD
E01012117,"7,082",3,TS14 6QD,TS14,6QD
E01012120,"21,590",7,TS11 8AD,TS11,8AD
E01012187,"17,368",6,TS19 8UF,TS19,8UF
E01012188,"28,932",9,TS21 1BB,TS21,1BB
E01012192,"12,724",4,TS20 1AF,TS20,1AF
E01012199,"30,540",10,TS16 9DH,TS16,9DH
E01012200,"27,037",9,TS15 9BZ,TS15,9BZ
E01012207,"21,288",7,TS18 4HL,TS18,4HL
E01012269,"22,273",7,DL2  1TB,DL2, 1TB
E01012304,897,1,DL1  1HH,DL1, 1HH
E01012309,"26,210",8,DL3  0QD,DL3, 0QD
E01012334,"20,967",7,DL4  2QA,DL4, 2QA
E01012334,"20,967",7,DL5  6AN,DL5, 6AN
E01012355,"7,990",3,DL98 1AA,DL98,1AA
E01012371,"21,042",7,WA7  3HR,WA7, 3HR
E01012380,"2,893",1,WA88 1ZS,WA88,1ZS
E01012385,"23,805",8,WA4  4BU,WA4, 4BU
E01012478,"11,897",4,WA1  2DL,WA1, 2DL
E01012562,"27,677",9,WA55 1BN,WA55,1BN
E01012571,"1,879",1,BB1  1QZ,BB1, 1QZ
E01012576,"3,394",2,BB0  1GR,BB0, 1GR
E01012581,"26,050",8,BB2  7BU,BB2, 7BU
E01012585,"9,431",3,PR1  1QA,PR1, 1QA
E01012589,"3,483",2,BB3  1ER,BB3, 1ER
E01012628,"25,628",8,PR6  8DS,PR6, 8DS
E01012655,19,1,BB6  7BZ,BB6, 7BZ
E01012662,"7,365",3,FY5  3BA,FY5, 3BA
E01012666,"5,926",2,FY2  9HN,FY2, 9HN
E01012670,9,1,FY1  4BX,FY1, 4BX
E01012671,7,1,FY4  1AA,FY4, 1AA
E01012675,139,1,FY3  8DN,FY3, 8DN
E01012688,"5,035",2,FY8  5RR,FY8, 5RR
E01012692,"5,332",2,FY6  7QS,FY6, 7QS
E01012756,"13,273",5,HU5  3JD,HU5, 3JD
E01012757,"6,607",3,HU3  1YX,HU3, 1YX
E01012764,"16,218",5,HU6  7AA,HU6, 7AA
E01012766,"17,764",6,HU8  0AH,HU8, 0AH
E01012770,"26,752",9,HU4  6TP,HU4, 6TP
E01012778,585,1,HU7  4FB,HU7, 4FB
E01012805,484,1,HU9  2AB,HU9, 2AB
E01012811,"17,012",6,HU1  1XF,HU1, 1XF
E01012811,"17,012",6,HU12 0YA,HU12,0YA
E01012811,"17,012",6,HU2  0NF,HU2, 0NF
E01012817,"9,094",3,HU11 4YZ,HU11,4YZ
E01012884,"4,383",2,HU13 9NN,HU13,9NN
E01012919,"30,211",10,HU17 8GL,HU17,8GL
E01012920,"27,257",9,YO4  3SA,YO4, 3SA
E01012920,"27,257",9,YO43 4RZ,YO43,4RZ
